Scenario,Cost PV,Opex,Capex,Moniker
1,81113490.38,14112000,1000000,"([""/SAP/Mzinda/SAP1/DA-HRS/1600/Existing/2024/2100""], [""/PAP/Mzinda/PAP1/DH/500/Existing/2024/2100"", ""/PAP/Mzinda/PAP2/DH/500/Existing/2024/2100""], [""/Granulation/Safi/GRANUL1/Chemical granulation/New/0/2100""], [""/Logistics/Conv BG-LavBG/Bouchane/Youssoufia/Belt conveyor/ACP/2.5/New"", ""/Logistics/Pipe BG-SPH/Benguerir/Bouchane/Belt conveyor/Rock/5/Existing""], (""/Mine/Mzinda/Mzinda/Définie/3.64/Existing/2018/2100--/WP/Youssoufia/Youssoufia Benef/Youssoufia Calciné/2.2/Existing/2018/2050"",))"
2,81114142.19,14112113.4,1500000,"([""/SAP/Mzinda/SAP2/DA-HRS/1600/Existing/2024/2100""], [""/PAP/Mzinda/PAP1/DH/500/Existing/2024/2100"", ""/PAP/Mzinda/PAP2/DH/500/Existing/2024/2100""], [""/Granulation/Safi/GRANUL1/Chemical granulation/New/0/2100""], [""/Logistics/Conv BG-LavBG/Bouchane/Youssoufia/Belt conveyor/ACP/2.5/New""], (""/Mine/Mzinda/Mzinda/Définie/5.45/Extension/2018/2100--/WP/Youssoufia/Youssoufia Benef/Youssoufia Calciné/2.2/Existing/2018/2050"",))"
3,81113490.38,14112000,1200000,"([""/SAP/Mzinda/SAP1/DA-HRS/1600/Existing/2024/2100"", ""/SAP/Mzinda/SAP2/DA-HRS/1600/Existing/2024/2100""], [""/PAP/Mzinda/PAP2/DH/500/Existing/2024/2100"", ""/PAP/Mzinda/PAP1/DH/500/Existing/2024/2100""], [""/Granulation/Safi/GRANUL1/Chemical granulation/New/0/2100""], [""/Logistics/Pipe BG-SPH/Benguerir/Bouchane/Belt conveyor/Rock/5/Existing""], (""/Mine/Mzinda/Mzinda/Définie/8/Extension/2021/2100--/WP/Youssoufia/Youssoufia Benef/Youssoufia LF & Calciné/1.4/Existing/2018/2050"",))"
